Titulo,Codigo_respuesta,Links,Imagenes
Dudas en el mundo frente a la vacuna de Rusia contra la COVID-19,1,21,2
Hasta 100 mil llamadas diarias para rastrear casos de Covid-19 en Colombia,1,30,2
"Murió Eduardo Polo Mendoza, alcalde de Repelón (Atlántico), por COVID-19 ",1,26,2
"Suecia, una laxa estrategia que parece haber controlado el COVID-19",1,19,2
Droguerías colombianas: ¿cómo podrían ayudar a enfrentar el COVID-19? ,1,24,2
La economía circular en medio de la pandemia,1,27,4
Logran una “foto” microscópica de una célula infectada por el coronavirus ,1,21,2
Las manifestaciones en Bogotá  y su efecto en el COVID-19,1,26,14
Se redujo velocidad de contagio de COVID-19 en Bogotá: Secretaría de Salud,1,26,4
Venezuela recibe cargamento de vacunas de Rusia contra COVID-19,1,29,2
"Interferón, otra promesa apresurada contra el COVID-19",1,29,2
"Senador Armando Benedetti, positivo para COVID-19",1,23,2
¿Dónde están las científicas en la pandemia? La covid-19 las borra del mapa,1,44,2
No todos los positivos por COVID-19 generan incapacidad laboral: Mintrabajo,1,30,2
El Magazín Cultural ,1,13,4
"El calentamiento global, una amenaza mucho mayor que el covid-19 (Cruz Roja)",1,21,2
¿Las mujeres embarazadas están en mayor riesgo por el COVID-19? ,1,20,2
Excarcelaciones en tiempos de COVID-19: ¿salvando vidas o incrementando el crimen?,1,44,2
“Siempre quise minimizarlo”: Trump sobre el COVID-19,1,22,2
El estudio más grande sobre COVID-19 en India tiene lecciones para países como Colombia,1,20,2
OMS pone la atención en efectos a largo plazo de pacientes con COVID-19 ,1,20,2
"Santiago Arias, positivo para COVID-19",1,23,2
No hay evidencia de que el matarratón cure el COVID-19,1,19,2
Manizales: alcalde busca medidas restrictivas ante pico de  contagios de COVID-19  ,1,30,2
La diplomacia colombiana por la vacuna contra la COVID-19,1,23,2
"Diego Molano, director del Dapre, da positivo para COVID-19",1,22,2
¿Acabará el COVID-19 con el dinero en efectivo?,1,28,2
Gobernador de Bolívar da positivo para COVID-19 ,1,26,2
La transmisión del coronavirus en Europa es alarmante: OMS,1,20,2
Normalizando la injusticia: Los detenidos en URI y estaciones de Policía frente al COVID-19 ,1,32,2
Citoquinas que produce el Covid-19 podrían dificultar la inmunidad a largo plazo,1,22,2
CROMOS,1,35,0
Alrededor de 45.000 personas con COVID-19 se han asilado bajo la estrategia DAR en Bogotá ,1,25,4
Bolsas mundiales se desploman por la segunda ola del COVID-19 ,1,19,2
Ronaldinho anunció que es positivo de COVID-19,1,21,2
Donald Trump: vacuna para COVID-19 llegará el 1 de noviembre (tres días antes de elecciones),1,25,2
"Detecto, aíslo y reporto: el nuevo esquema para mitigar la propagación del COVID-19 en Bogotá",1,27,4
¿Qué ha pasado con el COVID-19 en Bogotá?,1,24,4
Bogotá superó este viernes los 100.000 casos de COVID – 19,1,26,4
Congresistas piden “recursos suficientes” para vacunas contra COVID-19 en presupuesto 2021 ,1,22,2
El Magazín Cultural ,1,14,4
"Cundinamarca analiza pico y placa en los municipios, para evitar propagación de COVID-19 ",1,23,4
Coronavirus: ¿los niños lo contagian tanto como creíamos?,1,30,2
Francia y Alemania endurecen restricciones por segunda ola de COVID-19 en Europa,1,29,2
Pfizer afirma que su vacuna contra el Covid-19 es “eficaz en un 90%”,1,23,2
¿Qué hemos aprendido de la transmisión del coronavirus?,1,20,2
La COVID-19 agudizó precariedades y abusos del sistema penitenciario en Paraguay,1,30,2
"El director de la Policía, general Óscar Atehortúa, tiene COVID-19",1,26,2
La obesidad también podría traer problemas frente a la vacuna de Covid-19,1,26,2
"Con jornadas pedagógicas, Distritro enseña a prevenir el COVID-19 ",1,20,11
Duque envía mensaje de urgencia para proyecto que garantiza acceso a la vacuna del COVID-19,1,21,2
"Duque dice que no hay rebrote de covid-19, sino ""retrasos"" en su evolución",1,198,11
Recuperación de Colombia tendría forma de raíz cuadrada,1,191,12
India disminuye pruebas para detectar covid-19 pese al aumento de casos,1,196,11
"OMS afirma que ""quizás nunca haya una solución"" mágica contra la covid",1,86,0
La industria aseguradora sufrió un duro golpe por el coronavirus ,1,195,11
OMS pide solidaridad a los países con la vacuna para la covid-19,1,196,11
Latinoamérica retrocederá tres décadas en materia social por la covid-19,1,194,11
Novavax inicia fase 3 de su vacuna para la covid-19 en el Reino Unido,1,196,11
EE. UU. lanza ensayo clínico de anticuerpos sintéticos contra la covid-19,1,191,11
"La covid-19 no es un enemigo de la economía, sino un acelerador empresarial",1,185,11
¿Cuál es el riesgo de contagio de covid según el medio de transporte?,1,199,11
Google Maps permitirá conocer contagios de covid-19,1,78,0
Segunda ola de covid-19 arruina esperanzas de rápida recuperación en zona euro,1,191,11
Llegan a Bogotá 70 ventiladores UCI comprados por la Alcaldía,1,78,0
"Seis países informaron de casos de covid-19 en visones, según la OMS",1,194,11
Vacunas contra covid-19 de China y Rusia preocupan a Estados Unidos,1,194,11
¿En qué consiste la estrategia japonesa para prevenir el coronavirus?,1,200,11
EE. UU. podría autorizar transfusiones de plasma a enfermos de covid-19,1,193,11
Pagos electrónicos en América Latina aumentaron un 130% por la pandemia,1,184,11
"La covid-19 rebrota en Europa, pero ¿por qué Italia es la excepción?",1,85,0
"Tapabocas quirúrgicos, eficaces para frenar covid-19, según estudio ",1,86,0
"OIT, alarmada por el impacto de la crisis de la covid-19 en los jóvenes",1,90,0
Invima aprobó uso de Interferón Beta para ensayos contra la covid-19,1,78,0
Personas recuperadas de covid-19 podrían presentar déficit cognitivo,1,187,11
OMS: curva de contagios de la covid-19 se está ralentizando,1,198,11
Personal de salud que trata covid-19 se podrá alojar en hoteles de Bogotá,1,86,0
El Reino Unido refuerza sus ayudas al empleo frente al coronavirus,1,193,11
¿Podría presentarse una nueva cuarentena en Colombia por coronavirus?,1,198,12
"Colombia, segundo más afectado por covid-19 en Latinoamérica, sumó 7.494 casos",1,195,12
OMS advierte que dos millones de personas podrían morir por covid-19 en el mundo,1,203,11
"Pandemia eliminaría 2,5 años de emisiones de CO2 ",1,193,12
"Fluimucil, otra posible arma contra la covid-19",1,187,11
Italia comienza experimentación en humanos de su vacuna contra la covid-19,1,195,11
Bloomberg lanzó programa para enfrentar la covid-19 en Latinoamérica,1,196,11
Rusia prevé tener en menos de una semana vacuna contra covid-19,1,197,11
Mantener las medidas de autocuidado evitará rebrotes de coronavirus ,1,189,11
AstraZeneca suspenderá pruebas fase 3 de la vacuna contra el covid-19,1,84,0
Rusia prepara primer envío de su vacuna contra la covid-19 a Bielorrusia,1,188,11
La covid-19 se convirtió en la gran aceleradora del comercio en línea,1,85,0
Novartis cree que las vacunas no serán suficientes para derrotar la covid-19,1,88,0
OMS descarta que vacunación masiva contra covid-19 sea a inicios de 2021 ,1,78,0
Gobierno autoriza el transporte terrestre en municipios con baja afectación por covid-19,1,40,0
"
Los rebrotes de contagios por covid-19 sacudieron a los mercados accionarios del mundo
",1,156,19
"
Canadá es el país que más potenciales vacunas contra el virus del covid-19 ha asegurado
",1,150,16
