Titulo,Codigo_respuesta,Links,Imagenes
"
  Beber mucha agua y hacer gárgaras con agua caliente y sal no elimina el coronavirus",1,73,13
"“Pfizer”, la supuesta historia del bebé bautizado con el nombre del laboratorio es una noticia falsa",1,182,13
403 ERROR,0,0,0
Gran gesto de Cristiano Ronaldo para hacerle frente al coronavirus,1,182,10
Que no cunda el pánico,1,249,18
"
No, ni el limón ni el bicarbonato eliminan el COVID-19
",1,185,121
Steam inhalation therapy found to inactivate SARS-CoV-2 virions,1,276,51
Detector: Ni el primer ministro de Italia dijo que perdió la batalla contra el Covid-19 ni es la persona que aparece en ésta foto,1,228,33
Un estudio revela que el humo del tabaco puede contagiar el coronavirus,1,96,28
"Ups, esta página se ha caído de la convocatoria",0,64,9
"Detector: No, no se ha comprobado que el Covid-19 dura 9 días en el asfalto",1,228,32
"
Ojalá fuera real, pero es falso que el café disminuye el impacto del Covid-19 ",1,41,4
 Es FALSO que haya un conductor de TransMilenio con COVID-19 en el Portal Norte,1,172,86
 FALSO: No murió una persona en la vía pública de Patio Bonito el 29 de abril,1,164,86
 Usan FOTO VIEJA para señalar que Claudia López incumple normas de la cuarentena,1,170,88
 Es falsa la cadena de WhatsApp que asegura que Éxito está regalando comida,1,165,87
 Ninguna persona ha fallecido por Covid-19 en TransMilenio,1,164,86
 Microsoft no está enviando correos para entregar ayudas por el Covid-19,1,164,86
Las noticias falsas sobre el coronavirus que circulan en redes,1,265,24
Las noticias falsas sobre el coronavirus que circulan en redes,1,265,24
"

La vitamina C, D y el zinc no disminuyen la probabilidad de morir por covid 
",1,247,58
"Ivermectina: cómo la falsa ciencia inventó un fármaco ""milagroso"" contra la covid-19",1,83,22
Críticas a mujer de ‘pelito sanador’ por supuesta cura del coronavirus,1,272,24
Receta contra el coronavirus que circula en redes es falsa,1,189,11
Listado,1,122,49
¿Es cierto que la vacuna contra el coronavirus causa esterilidad?,1,240,16
¿La vacuna alterará mi ADN? Un genetista resuelve dudas sobre la vacunación,1,340,20
"

	
	Minsalud advierte sobre información falsa de kit de medicamentos para el tratamiento de covid-19 

  


 





",1,176,21
Trump sugiere tratar el coronavirus con “una inyección de desinfectante” o con “luz solar”,1,419,91
Facebook bloquea a Maduro por difundir información falsa sobre la covid-19,1,422,91
Policía de Brasil dice que Bolsonaro cometió un delito al desinformar sobre el covid-19 y pide procesarlo,1,171,18
Infecciones en vacunados de covid-19: la utilización sin contexto de datos estadísticos conduce a conclusiones falsas,1,420,89
